,Account,Post Link,Caption,Post Type,Comments,View,Video Duration
0,aiww,https://www.instagram.com/p/CWgBvkpsB8l/,,image,10,,0
1,aiww,https://www.instagram.com/p/CWVf2GFsTIR/,"“I spoke to @penguinukbooks about poetry, politics, good art and my memoir, 1000 Years of Joys and Sorrows: https://bit.ly/2YO0SjH…”",collection,52,,0
2,aiww,https://www.instagram.com/p/CWQrwgYM4mC/,“Ai Lao and me”,image,25,,0
3,aiww,https://www.instagram.com/p/CWQAOrUMyDt/,,image,10,,0
4,aiww,https://www.instagram.com/p/CWOFpQLs8T_/,,image,19,,0
5,aiww,https://www.instagram.com/p/CWNqYj_MsW4/,,image,2,,0
6,aiww,https://www.instagram.com/p/CWNkuL7MqLg/,,image,53,,0
7,aiww,https://www.instagram.com/p/CWMYNVPjSwr/,,video,9,10327,20.833
8,aiww,https://www.instagram.com/p/CWMYytiMvLh/,,image,49,,0
9,aiww,https://www.instagram.com/p/CWLADkusWMC/,“M+ “white wash “(洗白）”,collection,26,,0
10,aiww,https://www.instagram.com/p/CWKoB7QjsbZ/,,video,14,6314,44.566
11,aiww,https://www.instagram.com/p/CWJdaNwML_w/,,image,12,,0
