,Account,Post Link,Caption,Post Type,Comments,View,Video Duration
0,artistgeorgecondo,https://www.instagram.com/p/CWR88_7Fx67/,“Watching KC chiefs game”,image,192,,0
1,artistgeorgecondo,https://www.instagram.com/p/CWQjqn5lnGb/,“Different portrait approach”,image,39,,0
2,artistgeorgecondo,https://www.instagram.com/p/CWQjgA3FOV3/,“A portrait”,image,62,,0
3,artistgeorgecondo,https://www.instagram.com/p/CWQjKDrlQih/,“One from the west village 2014”,image,16,,0
4,artistgeorgecondo,https://www.instagram.com/p/CWLaoNAlehq/,“Dolphins beat Lamar  not normal”,image,24,,0
5,artistgeorgecondo,https://www.instagram.com/p/CWHYN-eFTYk/,“Natural occurrences”,image,21,,0
6,artistgeorgecondo,https://www.instagram.com/p/CV_mPhUlhjR/,“Electric portrait from 90’s”,image,42,,0
7,artistgeorgecondo,https://www.instagram.com/p/CVrLVDFltTJ/,“Fire department out on tenth street”,video,17,6017,7.633
8,artistgeorgecondo,https://www.instagram.com/p/CVgOTEPoVoA/,“Animation 1997”,video,28,4698,28.6
9,artistgeorgecondo,https://www.instagram.com/p/CVUNqpaMlVJ/,“UFO sighting”,image,31,,0
10,artistgeorgecondo,https://www.instagram.com/p/CVLyfvjlhbH/,“Red state of mind”,image,40,,0
11,artistgeorgecondo,https://www.instagram.com/p/CVJF65El8EZ/,“Kristi and Megi at my fav place Paola’s Osteria @tisi_1808 @megiii_r”,image,2,,0
